,Model,Input shape,Layers,Units,Learning rate,Root Mean Squared Errors (validation)
0,NN,24,1,16,0.001,0.5422382729150598
1,MLP,24,1,16,0.001,0.6370986846889856
2,simpl_RNN,24,1,16,0.001,0.9269667750875438
3,LSTM,24,1,16,0.001,0.574504019609482
4,BI_LSTM,24,1,16,0.001,2.9516013462525565
5,CNN,24,1,16,0.001,0.6597907390319456
6,NN,24,1,16,0.0001,0.6747829316650371
7,MLP,24,1,16,0.0001,0.9350976380339607
8,simpl_RNN,24,1,16,0.0001,1.2464057312251993
9,LSTM,24,1,16,0.0001,1.2742062437543815
10,BI_LSTM,24,1,16,0.0001,1.0017074494831952
11,CNN,24,1,16,0.0001,1.0695841467616007
12,NN,24,1,16,1e-05,0.9839580062441942
13,MLP,24,1,16,1e-05,1.1780362936339266
14,simpl_RNN,24,1,16,1e-05,1.230646801610787
15,LSTM,24,1,16,1e-05,1.309712232625217
16,BI_LSTM,24,1,16,1e-05,1.1710441079691964
17,CNN,24,1,16,1e-05,1.0610898155943302
18,NN,24,1,16,0.001,0.5497629629120442
19,MLP,24,1,16,0.001,0.9020365988185844
20,simpl_RNN,24,1,16,0.001,1.0063667446540878
21,LSTM,24,1,16,0.001,0.9118299707281524
22,BI_LSTM,24,1,16,0.001,1.2172937123437582
23,CNN,24,1,16,0.001,0.7678718853882179
24,NN,24,1,16,0.0001,0.6426478638221993
25,MLP,24,1,16,0.0001,0.5697266692558322
26,simpl_RNN,24,1,16,0.0001,0.904280082086629
27,LSTM,24,1,16,0.0001,1.3778415673449314
28,BI_LSTM,24,1,16,0.0001,0.8364112386972968
29,CNN,24,1,16,0.0001,0.7233169584225723
30,NN,24,1,16,1e-05,0.9023289280029526
31,MLP,24,1,16,1e-05,1.059800633010843
32,simpl_RNN,24,1,16,1e-05,1.459219576781598
33,LSTM,24,1,16,1e-05,1.5281483867327226
34,BI_LSTM,24,1,16,1e-05,1.2669217747976773
35,CNN,24,1,16,1e-05,1.0991525273288347
36,NN,24,1,16,0.001,0.5761081793991467
37,MLP,24,1,16,0.001,0.8017302357877265
38,simpl_RNN,24,1,16,0.001,0.7722952386127677
39,LSTM,24,1,16,0.001,0.7764668693353362
40,BI_LSTM,24,1,16,0.001,2.2608216483456487
41,CNN,24,1,16,0.001,0.6346439224665152
42,NN,24,1,16,0.0001,0.8016221329036334
43,MLP,24,1,16,0.0001,0.6385788250996897
44,simpl_RNN,24,1,16,0.0001,0.9154719290185559
45,LSTM,24,1,16,0.0001,1.7175083426264421
46,BI_LSTM,24,1,16,0.0001,1.2603525995223415
47,CNN,24,1,16,0.0001,0.7371296458877992
48,NN,24,1,16,1e-05,1.7370810782701713
49,MLP,24,1,16,1e-05,1.040629531983328
50,simpl_RNN,24,1,16,1e-05,1.1470943572062766
51,LSTM,24,1,16,1e-05,2.2093865313436507
52,BI_LSTM,24,1,16,1e-05,1.3597102423353187
53,CNN,24,1,16,1e-05,0.9211514525472254
54,NN,24,1,32,0.001,0.34608338472152095
55,MLP,24,1,32,0.001,0.6241085782573416
56,simpl_RNN,24,1,32,0.001,0.7968521009932044
57,LSTM,24,1,32,0.001,0.5345102756537339
58,BI_LSTM,24,1,32,0.001,0.9813509092506112
59,CNN,24,1,32,0.001,0.6146488448717395
60,NN,24,1,32,0.0001,0.6251241155803746
61,MLP,24,1,32,0.0001,2.1013677060189155
62,simpl_RNN,24,1,32,0.0001,1.2149972529160136
63,LSTM,24,1,32,0.0001,0.9966467141036843
64,BI_LSTM,24,1,32,0.0001,1.0134548143706406
65,CNN,24,1,32,0.0001,0.973332697579225
66,NN,24,1,32,1e-05,0.8710966619344674
67,MLP,24,1,32,1e-05,0.6970029710111042
68,simpl_RNN,24,1,32,1e-05,1.5294943809667227
69,LSTM,24,1,32,1e-05,1.364145238324795
70,BI_LSTM,24,1,32,1e-05,1.2256121560433035
71,CNN,24,1,32,1e-05,1.063055170246397
72,NN,24,1,32,0.001,1.1437928896456833
73,MLP,24,1,32,0.001,0.6630528396258496
74,simpl_RNN,24,1,32,0.001,0.6323085298745065
75,LSTM,24,1,32,0.001,0.9630655052553123
76,BI_LSTM,24,1,32,0.001,1.2745018205728487
77,CNN,24,1,32,0.001,1.1065133591652778
78,NN,24,1,32,0.0001,0.6820039158636532
79,MLP,24,1,32,0.0001,0.5490245394163918
80,simpl_RNN,24,1,32,0.0001,0.6257128799996616
81,LSTM,24,1,32,0.0001,1.2323501852476126
82,BI_LSTM,24,1,32,0.0001,1.1725774805757532
83,CNN,24,1,32,0.0001,0.7500623561134779
84,NN,24,1,32,1e-05,1.5239713681137865
85,MLP,24,1,32,1e-05,0.9638541861412991
86,simpl_RNN,24,1,32,1e-05,1.8761764653848412
87,LSTM,24,1,32,1e-05,1.3790170132445652
88,BI_LSTM,24,1,32,1e-05,1.2174538249266071
89,CNN,24,1,32,1e-05,1.0704023679034713
90,NN,24,1,32,0.001,0.5238214843454129
91,MLP,24,1,32,0.001,0.5974593579601649
92,simpl_RNN,24,1,32,0.001,0.946426415012099
93,LSTM,24,1,32,0.001,0.7097995334462258
94,BI_LSTM,24,1,32,0.001,0.7501277268718125
95,CNN,24,1,32,0.001,0.7580556083368852
96,NN,24,1,32,0.0001,0.6342525085780085
97,MLP,24,1,32,0.0001,0.6455209165861946
98,simpl_RNN,24,1,32,0.0001,1.4190374973716102
99,LSTM,24,1,32,0.0001,1.7300652810465165
100,BI_LSTM,24,1,32,0.0001,4.737689999138719
101,CNN,24,1,32,0.0001,0.6880302601990442
102,NN,24,1,32,1e-05,2.337788296135139
103,MLP,24,1,32,1e-05,0.8253985110952371
104,simpl_RNN,24,1,32,1e-05,1.137732502811266
105,LSTM,24,1,32,1e-05,1.1694100504769138
